CommonNameCat,Family,Genus,Species,Authority,Code,Group,Family2,Raunkiaer,Woodiness,LeafType,LeafPhenology,Leafshape,Mechanism,Ref.Mechanism,Clonality,RootType,Dispersal,LeafSize,GrowthForm,Afbt,Bfbt,Cfbt,Dfbt,CR,Awsh,Bwsh,Ratio,Ref. fuels,BD,Ref.BulkDensity,WoodDensity tn/m3,Ref.WoodDensity,SAV,Ref.SAV,Heat,Ref.heat,minFMC,Ref.FMC
Esparraguera borda,LILIACEAE,Asparagus,Asparagus acutifolius,L. ,Asac,monocot,Asparagaceae,geophyte,woody,sclerophyll,evergreen,needle-like,resprouter,Hatzistathis et al,rhizomatous,fasciculated,endozoochory,leptophyll,suffrutex,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,6804,Sánchez-Pinillos et al. (2021),22510,Sánchez-Pinillos et al. (2021),80,Saura Mas and Lloret 2007
Esparragera de gat,LILIACEAE,Asparagus,Asparagus albus,L.,Asal,monocot,Asparagaceae,geophyte,woody,sclerophyll,deciduous,needle-like,resprouter,Coca and Pausas 2011,rhizomatous,fasciculated,endozoochory,leptophyll,suffrutex,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,6804,Sánchez-Pinillos et al. (2021),22511,Sánchez-Pinillos et al. (2021),80,Saura Mas and Lloret 2007
Romaní,LABIATAE (LAMIACEAE),Rosmarinus,Rosmarinus officinalis,L.,Roof,dicot,Lamiaceae,nanophanerophyte,woody,sclerophyll,evergreen,linear,seeder,"Vilà-Cabrera, Saura-Mas, and Lloret 2008",nonclonal,taproot,anemochory,leptophyll,suffrutex,,,,,0.72,2.03,0.97,3.12,Sánchez-Pinillos et al. (2021),1.64,de Cáceres et al.(2020),,,4860,Cohen et al.(2003),22700,Cohen et al.(2003),61.2,Domenech Agenjo et al. 2022
Frígola borda,LABIATAE (LAMIACEAE),Teucrium,Teucrium capitatum,L.,Teca,dicot,Lamiaceae,chamaephyte,woody,malacophyll,semi deciduous,broad,resprouter,Alfaro-Sanchez et al 2015,nonclonal,taproot,ballistochory,leptophyll,suffrutex,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,4386,Sánchez-Pinillos et al. (2021),19852,Sánchez-Pinillos et al. (2021),80,
Farigola,LABIATAE (LAMIACEAE),Thymus,Thymus herba-barona Loisel. subsp bivalens,"Mayol,L. Saez & Rossello",Thhb,dicot,Lamiaceae,chamaephyte,woody,sclerophyll,evergreen,linear,seeder,,nonclonal,taproot,anemochory,leptophyll,suffrutex,,,,,,1.52,0.91,4.24,Sánchez-Pinillos et al. (2021),7.94,de Cáceres et al.(2020),,,2560,Sánchez-Pinillos et al. (2021),21000,Sánchez-Pinillos et al. (2021),33,Elvira and Hernando (1989) for T. vulgaris
Garrofer,LEGUMINOSAE,Ceratonia,Ceratonia siliqua,L.,Cesi,dicot,Fabaceae,phanerophyte,woody,sclerophyll,evergreen,broad,resprouter,Coca and Pausas 2011,nonclonal,taproot,endozoochory,mesophyll,tree,0.119,1.63,0.00,0.00,,,,2.23,Sánchez-Pinillos et al. (2021),,,0.52,,5740,Sánchez-Pinillos et al. (2021),19740,Sánchez-Pinillos et al. (2021),80,Saura Mas and Lloret 2007
Ullastre,OLEACEAE,Olea,Olea europaea,L.,Oleu,dicot,Oleaceae,macrophanerophyte,woody,sclerophyll,evergreen,broad,resprouter,Coca and Pausas 2011,basal suckers,branched,endozoochory,microphyll,tree,0.031,1.53,0.00,0.00,,0.31,0.96,2.23,Sánchez-Pinillos et al. (2021),,,,,2400,Cohen et al.(2003),19500,Cohen et al.(2003),68,Domenech Agenjo et al. 2022
Pi blanc,PINACEAE,Pinus,Pinus halepensis,Mill.,Piha,gymnosperm,Pinaceae,phanerophyte,woody,sclerophyll,evergreen,needle-like,seeder,,nonclonal,taproot,anemochory,nanophyll,tree,0.057,1.52,-0.03,0.00,,0.31,0.76,1.96,Sánchez-Pinillos et al. (2021),,,0.46,,6050,Cohen et al.(2003),22300,Cohen et al.(2003),109.1,Domenech Agenjo et al. 2022
Ametller,ROSACEAE,Prunus,Prunus dulcis,,Prdu,dicot,Rosaceae,phanerophyte,woody,malacophyll,deciduous,broad,resprouter,,nonclonal,taproot,endozoochory,microphyll,tree,,,,,,,,2.23,Sánchez-Pinillos et al. (2021),,,,,5740,Sánchez-Pinillos et al. (2021),19740,Sánchez-Pinillos et al. (2021),80,Saura Mas and Lloret 2007
Alzina,FAGACEAE,Quercus,Quercus ilex subsp. ilex,L. ,Quil,dicot,Fagaceae,phanerophyte,woody,sclerophyll,evergreen,broad,resprouter,"Vilà-Cabrera, Saura-Mas, and Lloret 2008",basal suckers,taproot,synzoochory,microphyll,tree,0.063,1.55,-0.01,0.00,,0.61,0.76,1.81,Sánchez-Pinillos et al. (2021),1.12,de Cáceres et al.(2020),0.82,,4050,Cohen et al.(2003),19300,Cohen et al.(2003),74.1,Domenech Agenjo et al. 2022
